
1.,8001,"Erki Nool",1970-06-25,EE,10.94,7.83,12.48,2.0,49.72,15.67,38.3,5.4,55.84,271.72
2.,7934,"Janis Litoměřice",1985-06-06,LV,11.52,7.87,12.4,2.05,50.05,15.6,39.0,5.45,55.95,274.42
3.,7672,"宗弘金子 (Munehiro Kaneko)",1968-06-06,JP,11.33,7.18,13.49,1.94,50.19,15.17,43.76,4.5,60.84,277.86
4.,4234,"Siim Susi",1976-01-01,EE,12.61,5.0,9.22,1.5,59.39,16.43,21.6,2.6,35.81,325.72
5.,4091,"José Maria González Desperado",1967-05-03,ES,12.75,4.93,10.05,1.33,60.25,17.45,40.17,2.9,32.13,395.0
6-7.,4066,"Mąrtęn Kołobrźeg",1979-12-31,PL,12.85,4.9,10.18,1.35,60.15,17.54,40.18,2.89,32.11,399.98
6-7.,4066,"Marat Zuckermann",1973-08-05,IL,12.85,4.9,10.18,1.35,60.15,17.54,40.18,2.89,32.11,399.98
8.,3495,"Szőrös Szűk",1972-04-03,HU,13.75,4.84,10.12,1.5,68.44,19.18,30.85,2.8,33.88,382.75
9.,3199,"Beata Kana",1982-03-01,ZA,13.04,4.53,7.79,1.55,64.72,18.74,24.2,2.4,28.2,410.76
10.,3100,"Василий Пупкин",1980-10-21,UA,13.43,4.35,8.64,1.5,66.06,19.05,24.89,2.2,33.48,411.01
