1,8902,"Tomáš Dvořák",11.05.1972,CZ,10.62,8.07,16.57,2.0,47.74,13.8,45.51,5.0,68.53,4:35.13
2,8861,"Mumbalele-Nsowu Mensah-Bonsu Pops",15.05.1985,ZW,10.23,8.05,11.0,2.1,49.53,16.11,57.21,5.54,71.0,4:30.18
3,8001,"Erki Nool",25.06.1970,EE,10.94,7.83,12.48,2.0,49.72,15.67,38.3,5.4,55.84,4:31.72
4,7934,"Janis Litoměřice",06.06.1985,LV,11.52,7.87,12.4,2.05,50.05,15.6,39.0,5.45,55.95,4:34.42
5,7672,"宗弘金子 (Munehiro Kaneko)",06.06.1968,JP,11.33,7.18,13.49,1.94,50.19,15.17,43.76,4.5,60.84,4:37.86
6,4234,"Siim Susi",01.01.1976,EE,12.61,5.0,9.22,1.5,59.39,16.43,21.6,2.6,35.81,5:25.72
7,4091,"José Maria González Desperado",03.05.1967,ES,12.75,4.93,10.05,1.33,1:0.25,17.45,40.17,2.9,32.13,6:35.0
8-9,4066,"Mąrtęn Kołobrźeg",31.12.1979,PL,12.85,4.9,10.18,1.35,1:0.15,17.54,40.18,2.89,32.11,6:39.98
8-9,4066,"Marat Zuckermann",05.08.1973,IL,12.85,4.9,10.18,1.35,1:0.15,17.54,40.18,2.89,32.11,6:39.98
10,3494,"József Fenyő",03.04.1972,HU,13.75,4.84,10.12,1.5,1:8.44,19.18,30.85,2.8,33.88,6:22.75
11,3199,"Beata Kana",09.05.1989,ZA,13.04,4.53,7.79,1.55,1:4.72,18.74,24.2,2.4,28.2,6:50.76
12,3099,"Василий Пупкин",21.10.1980,UA,13.43,4.35,8.64,1.5,1:6.06,19.05,24.89,2.2,33.48,6:51.01
